producto,kyva_classic,kyva_elite,competidor,precio_competidor,ml_kyva,ml_competidor,fuente,fecha_observacion
Aguardiente Mil Demonios 700 ml,111000,99300,La Licorera,100990,700,700,https://lalicorera.com/productos/aguardiente/mil-demonios,2026-09-10
Aguardiente Mil Demonios 700 ml,111000,99300,Dislicores,114990,700,700,https://www.dislicores.com/aguardiente-mil-demonios/p,2026-09-10
Whisky Old Parr 12 años 500 ml,110200,104400,Dislicores,105990,500,500,https://www.dislicores.com/old-parr,2026-09-10
Whisky Chivas Regal 12 años 1 L,184800,155600,Éxito,186700,1000,1000,https://www.exito.com/whisky-chivas-regal-12-a-os-x-1000-ml-327638/p,2026-09-10
Whisky Buchanan's 12 años (con estuche),165000,158100,La Licorera,172990,950,750,https://lalicorera.com/productos/whisky/buchanans-12-anos,2026-09-10
Whisky Jack Daniel's Old No. 7 (por litro),183300,173100,Dislicores,132500,1000,700,https://www.dislicores.com/jack-daniels,2026-09-10
Whisky The Glenlivet 12 años 700 ml,146850,146850,Dislicores,146925,700,700,https://www.dislicores.com/whisky-glenlivet-12-anos--ref304037/p,2026-09-10
